,Wall Height,Sec1,Sec4,Sec5,Sec11,Sec12,Sec13,Sec15,Sec16,Sec17,,h12
0,0,2624669.365,4060417.407,2000280.92,2455406.99,4611180.59,1155872.695,2306025.007,2636076.853,3142360.447,,3.48
1,0.05,2624669.365,4060417.407,2000280.92,2455406.99,3578072.521,1155872.695,2306025.007,2636076.853,3142360.447,,3.309253481
2,0.1,2591693.897,4060417.407,2000280.92,2455406.99,3234421.272,1155872.695,2306025.007,2636076.853,3142360.447,,3.230714111
3,0.15,2272197.969,4060417.407,2000280.92,2455406.99,2912814.714,1155872.695,2306025.007,2636076.853,3142360.447,,3.144789148
4,0.2,1980292.775,4060417.407,2000280.92,2455406.99,2611181.862,1155872.695,2306025.007,2636076.853,3142360.447,,3.051424293
5,0.25,1710549.37,4060417.407,2000280.92,2455406.99,2329520.535,1155872.695,2205118.707,2636076.853,3142360.447,,2.983158221
6,0.3,1463524.55,4060417.407,2000280.92,2455406.99,2067287.66,1062539.79,1999582.939,2636076.853,3142360.447,,2.93678811
7,0.35,1238705.432,4060417.407,2000280.92,2455406.99,1823474.769,901396.4721,1809238.539,2636076.853,3142360.447,,2.875651205
8,0.4,1035954.988,4060417.407,1961223.449,2455406.99,1596400.705,757534.3688,1632772.499,2636076.853,3142360.447,,2.799848594
9,0.45,852525.4838,4060417.407,1695208.231,2455406.99,1386484.511,630155.0527,1470616.395,2636076.853,3142360.447,,2.749493379
10,0.5,687120.5693,4060417.407,1450517.792,2455406.99,1194791.41,515098.2504,1321571.398,2636076.853,3142360.447,,2.728795277
11,0.55,540483.5671,4060417.407,1228341.075,2455406.99,1023229.237,411732.2393,1186370.743,2636076.853,3142360.447,,2.682946957
12,0.6,414232.0203,4060417.407,1027012.067,2455406.99,870039.6135,320993.4756,1066114.085,2636076.853,3142360.447,,2.614484716
13,0.65,307426.6008,4060417.407,844087.1556,2455406.99,732899.2148,243957.2831,960263.1632,2636076.853,3142360.447,,2.525083171
14,0.7,219501.1713,4060417.407,679908.0665,2455406.99,611342.4901,179923.4527,867636.205,2636076.853,3142360.447,,2.544171552
15,0.75,151093.6107,4060417.407,536015.8098,2455406.99,503315.2503,128995.9161,787158.3397,2636076.853,3142360.447,,2.556877202
16,0.8,99971.61165,3948897.905,412744.4345,2455406.99,408230.7346,90319.06541,718896.8447,2636076.853,3142360.447,,2.52051782
17,0.85,61236.06101,3482895.228,309093.8353,2455406.99,325477.8535,60571.7224,663255.161,2636076.853,3142360.447,,2.439285577
18,0.9,34436.6732,3059595.037,224908.5518,2455406.99,254987.6453,37220.20693,616461.9324,2636076.853,3142360.447,,2.319027789
19,0.95,18539.86774,2667467.644,159432.9037,2455406.99,194822.1721,21567.16186,573867.3571,2636076.853,3142360.447,,2.30101392
20,1,9724.116284,2304842.46,108341.8542,2455406.99,143322.3088,12611.472,535144.7817,2636076.853,3142360.447,,2.310789212
21,1.05,4007.710241,1972564.81,68679.88108,2455406.99,100861.9289,7055.089389,500900.5454,2636076.853,3142360.447,,2.2132023
22,1.1,1101.531807,1670552.062,40798.97652,2455406.99,67535.43905,3026.648979,470061.314,2636076.853,2932100.687,,2.023711939
23,1.15,0,1398453.162,23569.01491,2455406.99,43426.72334,499.7456344,441891.7191,2636076.853,2636966.722,,1.774938777
24,1.2,0,1157268.904,12929.66602,2455406.99,26032.59524,0,416503.1218,2636076.853,2364434.164,,1.481886643
25,1.25,0,944153.4841,5776.849252,2455406.99,13736.37012,0,394041.3813,2636076.853,2112518.306,,1.454763443
26,1.3,0,758985.6556,1532.175638,2455406.99,6300.313693,0,374707.3693,2636076.853,1880502.963,,0.748198392
27,1.35,0,600086.6131,16.06027893,2455406.99,2814.706467,0,358805.5608,2636076.853,1667981.878,,0.47532006
28,1.4,0,466718.9209,0,2455406.99,739.8713863,0,346942.8971,2636076.853,1476001.829,,0.253879471
29,1.45,0,361111.2765,0,2455406.99,0,0,339446.3887,2494142.041,1305075.905,,0
30,1.5,0,278858.2502,0,2455406.99,0,0,334640.481,2139222.868,1152384.998,,0
31,1.55,0,210411.9929,0,2455406.99,0,0,331135.768,1815852.621,1014158.431,,0
32,1.6,0,154443.5202,0,2455406.99,0,0,329256.7253,1526458.311,890209.4591,,0
33,1.65,0,112561.1728,0,2455406.99,0,0,329170.7643,1273090.982,780673.6166,,0
34,1.7,0,80108.47558,0,2455406.99,0,0,329170.7643,1056843.782,685680.2888,,0
35,1.75,0,53975.71767,0,2455406.99,0,0,329170.7643,874755.5889,599825.7026,,0
36,1.8,0,34268.20606,0,2455406.99,0,0,329170.7643,719207.0221,519043.3097,,0
37,1.85,0,19893.71463,0,2455406.99,0,0,329170.7643,586410.0792,443324.0612,,0
38,1.9,0,10454.80337,0,2455406.99,0,0,329170.7643,475554.7619,372777.9806,,0
39,1.95,0,4967.523016,0,2455406.99,0,0,329170.7643,383555.8061,307542.1269,,0
40,2,0,1875.176742,0,2455406.99,0,0,329170.7643,303985.8034,247787.8939,,0
41,2.05,0,135.8126396,0,2455406.99,0,0,329170.7643,234406.2058,193732.4697,,0
42,2.1,0,0,0,2455406.99,0,0,329170.7643,176411.679,145658.1362,,0
43,2.15,0,0,0,2455406.99,0,0,329170.7643,127071.3403,103948.4741,,0
44,2.2,0,0,0,2455406.99,0,0,329170.7643,85573.56669,69170.14649,,0
45,2.25,0,0,0,2455406.99,0,0,329170.7643,52933.45393,42377.35576,,0
46,2.3,0,0,0,2455406.99,0,0,329170.7643,31057.27073,24752.74566,,0
47,2.35,0,0,0,2455406.99,0,0,329170.7643,17508.00658,13666.63572,,0
48,2.4,0,0,0,2455406.99,0,0,329170.7643,7785.599635,5703.890647,,0
49,2.45,0,0,0,2455406.99,0,0,329170.7643,1516.506137,898.2899235,,0
50,2.5,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
51,2.55,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
52,2.6,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
53,2.65,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
54,2.7,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
55,2.75,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
56,2.8,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
57,2.85,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
58,2.9,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
59,2.95,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
60,3,0,0,0,2455406.99,0,0,329170.7643,0,0,,0
